Airbnbid,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2067166,10573163,Manhattan,Upper East Side,40.77127,-73.95033,Entire home/apt,75,3,2,2017-07-25,0.08,1,0
2067688,10575680,Manhattan,Kips Bay,40.74221,-73.98121,Private room,79,2,2,2017-01-02,0.06,2,0
2068054,10577541,Queens,Forest Hills,40.71215,-73.85356,Private room,55,15,6,2018-04-21,0.1,1,255
2069051,10581418,Brooklyn,Williamsburg,40.71524,-73.94299,Private room,45,1,17,2019-05-12,0.55,1,354
2069059,10581580,Brooklyn,South Slope,40.66551,-73.98805,Private room,85,10,0,,,1,0
2069359,347642,Brooklyn,Bedford-Stuyvesant,40.67828,-73.92965,Private room,80,3,130,2019-06-10,2,3,220
2070290,10585956,Manhattan,Hell's Kitchen,40.76874,-73.98757,Entire home/apt,599,1,0,,,1,0
2071265,10590038,Brooklyn,Williamsburg,40.70491,-73.94268,Entire home/apt,110,3,3,2015-05-30,0.05,1,0
2071420,10590692,Manhattan,Chelsea,40.74374,-74.00044,Entire home/apt,199,2,177,2019-07-01,2.85,2,112
2071446,3608781,Brooklyn,Williamsburg,40.71955,-73.96049,Private room,94,2,129,2019-02-23,2.22,1,188
2071464,3011547,Brooklyn,Boerum Hill,40.6863,-73.98572,Entire home/apt,400,5,34,2019-06-22,0.5,3,333
2071839,1939680,Brooklyn,Williamsburg,40.70731,-73.94344,Private room,60,7,5,2018-08-05,0.14,1,3
2071873,1394669,Manhattan,Murray Hill,40.75053,-73.97747,Entire home/apt,175,2,31,2019-05-26,0.46,1,33
2071941,1468317,Brooklyn,Greenpoint,40.72323,-73.94915,Entire home/apt,200,5,0,,,1,0
2074653,1468247,Manhattan,East Village,40.73033,-73.98742,Private room,100,5,2,2016-10-22,0.06,1,0
2074985,248739,Brooklyn,Crown Heights,40.66806,-73.95358,Entire home/apt,50,3,9,2016-11-18,0.13,1,0
2075377,10607256,Manhattan,Kips Bay,40.73899,-73.98153,Entire home/apt,175,3,0,,,1,0
2075453,7503643,Brooklyn,Greenpoint,40.72532,-73.93992,Entire home/apt,199,30,8,2018-07-17,0.14,52,308
2075471,10607636,Brooklyn,Greenpoint,40.73397,-73.95442,Private room,54,4,4,2014-05-20,0.06,1,0
2075526,8109174,Brooklyn,Park Slope,40.66952,-73.98285,Entire home/apt,130,4,8,2016-12-30,0.12,1,0
2075600,5089,Brooklyn,Bedford-Stuyvesant,40.68637,-73.9417,Entire home/apt,151,2,43,2019-07-01,0.65,1,220
2076101,10610482,Manhattan,Morningside Heights,40.81233,-73.96101,Entire home/apt,80,1,1,2016-03-20,0.02,1,0
2078687,10621196,Manhattan,Lower East Side,40.71715,-73.98936,Entire home/apt,110,8,5,2016-01-06,0.07,1,333
2079686,7624316,Brooklyn,Bushwick,40.7018,-73.91823,Entire home/apt,60,3,14,2017-02-20,0.21,1,0
2079765,3389163,Brooklyn,Bedford-Stuyvesant,40.68171,-73.92085,Entire home/apt,110,10,58,2019-06-03,0.92,1,282
2080709,4030621,Brooklyn,Greenpoint,40.73303,-73.95153,Private room,73,2,19,2016-01-05,0.28,1,0
2080861,10630723,Brooklyn,Bedford-Stuyvesant,40.69142,-73.93481,Entire home/apt,177,3,209,2019-06-26,3.11,2,237
2081177,542611,Queens,Sunnyside,40.74409,-73.91868,Entire home/apt,90,14,6,2016-09-11,0.09,1,0
2081394,2707940,Manhattan,Lower East Side,40.71864,-73.98496,Entire home/apt,190,1,2,2015-07-13,0.04,1,0
2081408,318435,Brooklyn,Crown Heights,40.66646,-73.93605,Entire home/apt,105,5,1,2015-01-08,0.02,1,0
2081850,1657228,Manhattan,Harlem,40.81286,-73.94385,Entire home/apt,150,14,1,2014-01-13,0.01,1,35
2082328,9947836,Bronx,Longwood,40.82347,-73.89495,Private room,65,4,26,2019-05-28,0.85,2,7
2082670,10638597,Brooklyn,Williamsburg,40.70674,-73.94365,Private room,35,1,2,2016-06-01,0.03,1,0
2082694,10638711,Brooklyn,Williamsburg,40.70958,-73.94287,Entire home/apt,700,3,1,2014-01-02,0.01,1,0
2083547,4690301,Brooklyn,Brooklyn Heights,40.69134,-73.99334,Entire home/apt,185,2,10,2017-09-20,0.2,1,0
2083749,10643341,Manhattan,Upper West Side,40.80033,-73.96509,Entire home/apt,150,90,54,2019-01-10,0.86,1,153
2083791,14751,Brooklyn,Bedford-Stuyvesant,40.68773,-73.9452,Private room,100,1,0,,,1,220
2083824,10643695,Brooklyn,Williamsburg,40.71131,-73.96813,Entire home/apt,575,1,0,,,1,0
2084817,2657134,Manhattan,Lower East Side,40.71044,-73.98756,Private room,128,1,16,2018-02-28,0.75,1,0
2085632,10650502,Manhattan,East Village,40.72247,-73.97923,Entire home/apt,299,28,92,2018-07-25,1.37,1,14
2086647,10653693,Manhattan,Chinatown,40.71651,-73.99053,Entire home/apt,169,3,2,2015-05-19,0.03,1,0
2087226,1763458,Manhattan,East Village,40.72864,-73.98216,Private room,109,7,130,2019-07-03,3.38,1,78
2087524,10656683,Brooklyn,Clinton Hill,40.68041,-73.95838,Entire home/apt,99,4,74,2019-06-11,1.93,1,261
2087663,10657268,Queens,Astoria,40.76165,-73.92179,Entire home/apt,130,5,0,,,1,0
2087970,10658486,Manhattan,West Village,40.73552,-74.00716,Entire home/apt,239,4,52,2019-06-26,0.82,1,84
2088389,234918,Brooklyn,Clinton Hill,40.68476,-73.96672,Entire home/apt,100,30,17,2017-08-30,0.25,1,0
2088725,10661536,Brooklyn,Gowanus,40.66983,-73.9904,Entire home/apt,124,4,52,2019-06-30,0.8,1,147
2089226,8452639,Brooklyn,Flatbush,40.64717,-73.96189,Private room,69,1,64,2019-06-15,0.96,3,362
2089273,8956323,Brooklyn,Williamsburg,40.70867,-73.94799,Entire home/apt,180,2,0,,,1,0
2089492,1104548,Brooklyn,Williamsburg,40.71371,-73.96236,Entire home/apt,225,2,28,2018-10-31,0.55,1,0
2089712,10666587,Manhattan,Hell's Kitchen,40.75774,-73.99371,Entire home/apt,119,2,3,2015-12-14,0.04,1,0
2089745,10661984,Manhattan,Chelsea,40.74611,-74.00014,Entire home/apt,220,7,55,2019-06-04,1.12,1,13
2091204,10672341,Brooklyn,Crown Heights,40.66876,-73.95633,Entire home/apt,150,4,6,2019-05-09,0.1,2,0
2091483,2529788,Brooklyn,Prospect Heights,40.67321,-73.96514,Private room,75,1,0,,,1,188
2092588,10677584,Brooklyn,Greenpoint,40.73408,-73.95601,Private room,51,3,19,2018-01-23,0.32,4,0
2092611,10662294,Manhattan,Upper East Side,40.77519,-73.95688,Entire home/apt,150,9,9,2017-09-05,0.13,1,0
2093035,10099888,Brooklyn,Williamsburg,40.71243,-73.95873,Private room,91,1,9,2016-07-04,0.14,1,0
2093064,7245581,Manhattan,Chelsea,40.74978,-73.99686,Entire home/apt,139,90,20,2018-12-15,0.31,19,219
2093304,9791461,Brooklyn,Fort Greene,40.69286,-73.96993,Entire home/apt,100,4,45,2019-01-03,1.01,1,190
2093455,6471461,Queens,Ridgewood,40.70716,-73.89906,Private room,60,1,275,2019-07-05,4.64,2,329
2094213,10642609,Manhattan,NoHo,40.72477,-73.99323,Entire home/apt,255,2,8,2017-01-02,0.12,1,0
2095959,10692401,Queens,Sunnyside,40.74409,-73.92471,Entire home/apt,94,7,27,2016-08-28,0.4,1,0
2096581,10694601,Manhattan,East Village,40.72287,-73.98462,Entire home/apt,179,2,21,2016-10-10,0.31,1,0
2096968,1461630,Manhattan,Upper East Side,40.76352,-73.95548,Entire home/apt,135,4,105,2019-06-29,1.56,1,267
2098338,4970579,Brooklyn,Flatbush,40.63832,-73.96769,Private room,50,5,77,2018-12-16,1.14,1,33
2098817,2462590,Brooklyn,Bushwick,40.69067,-73.92207,Entire home/apt,350,2,6,2019-05-01,0.95,2,99
2100174,10710522,Manhattan,Upper East Side,40.77452,-73.94951,Entire home/apt,150,30,26,2019-04-21,0.41,1,269
2100887,10545523,Manhattan,Nolita,40.72045,-73.99598,Entire home/apt,375,3,6,2015-05-19,0.1,1,0
2101349,9829662,Manhattan,Upper West Side,40.77747,-73.98095,Private room,150,3,10,2019-05-27,0.16,1,42
2101710,10717291,Manhattan,Hell's Kitchen,40.76204,-73.99143,Entire home/apt,175,1,0,,,1,0
2101884,7096230,Brooklyn,Park Slope,40.67281,-73.97628,Entire home/apt,170,2,24,2017-12-21,0.38,1,0
2102315,10720001,Brooklyn,Williamsburg,40.70981,-73.95189,Entire home/apt,275,3,3,2014-11-30,0.05,1,0
2102344,5976214,Brooklyn,Bushwick,40.70381,-73.92766,Private room,30,3,2,2014-01-03,0.03,1,0
2102542,2977901,Brooklyn,Cobble Hill,40.68803,-73.99182,Entire home/apt,150,1,19,2015-06-22,0.28,1,0
2102571,4265753,Manhattan,Midtown,40.75426,-73.96886,Entire home/apt,140,3,2,2017-04-07,0.07,1,0
2102651,10721586,Manhattan,Upper West Side,40.78835,-73.9681,Entire home/apt,200,30,1,2014-06-02,0.02,1,365
2103480,10725397,Manhattan,Upper West Side,40.77822,-73.98016,Entire home/apt,560,1,0,,,1,0
2104588,6757150,Manhattan,Theater District,40.76263,-73.98271,Entire home/apt,240,4,0,,,1,0
2104910,10643810,Queens,Ridgewood,40.70988,-73.90845,Entire home/apt,99,2,57,2017-03-08,0.89,1,42
2105163,10732706,Manhattan,Gramercy,40.73646,-73.98337,Entire home/apt,195,3,3,2019-01-03,0.21,1,0
2105180,10575680,Manhattan,Murray Hill,40.74961,-73.97865,Private room,89,2,10,2017-01-29,0.32,2,0
2106241,1318137,Brooklyn,Bushwick,40.69472,-73.92874,Private room,65,3,87,2019-06-11,1.37,2,305
2106662,10736013,Manhattan,West Village,40.73192,-74.00433,Entire home/apt,156,1,0,,,1,0
2106706,1534243,Manhattan,East Village,40.72859,-73.98957,Private room,120,1,0,,,1,0
2107372,10346860,Manhattan,Upper West Side,40.79994,-73.97094,Entire home/apt,400,1,0,,,1,0
2107696,9265204,Brooklyn,Williamsburg,40.70765,-73.94821,Entire home/apt,210,3,7,2019-06-10,0.1,2,343
2107883,7503643,Brooklyn,Greenpoint,40.72587,-73.94138,Entire home/apt,159,30,5,2019-04-21,0.14,52,338
2107939,1318137,Brooklyn,Bedford-Stuyvesant,40.69193,-73.9274,Private room,55,3,70,2019-05-27,1.11,2,285
2108178,7503643,Brooklyn,Greenpoint,40.72546,-73.94136,Entire home/apt,129,30,4,2018-01-05,0.06,52,322
2108237,4185342,Manhattan,Upper West Side,40.77517,-73.98829,Entire home/apt,300,3,4,2015-04-21,0.06,1,0
2108424,8013034,Brooklyn,Bushwick,40.69636,-73.91138,Private room,79,1,20,2019-06-15,0.32,2,285
2108635,2770596,Brooklyn,Prospect-Lefferts Gardens,40.66261,-73.94673,Private room,100,4,0,,,2,0
2110145,2151325,Manhattan,Upper West Side,40.77782,-73.97848,Entire home/apt,6000,14,17,2015-02-17,0.27,1,359
2110493,1834769,Queens,Maspeth,40.72675,-73.90522,Entire home/apt,64,3,7,2019-06-22,0.69,1,333
2111172,8337801,Brooklyn,Williamsburg,40.71872,-73.95496,Private room,110,10,72,2018-12-30,1.07,1,42
2111336,10764579,Manhattan,Harlem,40.82532,-73.94992,Private room,55,14,66,2019-04-30,1.12,1,17
2112142,10784618,Brooklyn,Bedford-Stuyvesant,40.68162,-73.94848,Private room,55,5,8,2018-04-30,0.21,1,270
2112344,10768668,Brooklyn,Bushwick,40.70177,-73.91922,Private room,75,5,0,,,1,0
2113431,10775192,Brooklyn,Greenpoint,40.72553,-73.94571,Private room,70,1,0,,,2,0
2113934,10777592,Manhattan,Upper East Side,40.7686,-73.95307,Shared room,85,2,16,2017-05-21,0.25,1,0
2115611,1998676,Brooklyn,Windsor Terrace,40.65022,-73.97247,Entire home/apt,130,29,16,2018-12-19,0.26,1,217
2115773,514261,Brooklyn,South Slope,40.66639,-73.98706,Private room,120,7,0,,,3,0
2115784,10787148,Brooklyn,Flatbush,40.64759,-73.96173,Entire home/apt,50,10,4,2014-07-13,0.06,1,0
2116059,10788865,Manhattan,Washington Heights,40.83454,-73.94224,Entire home/apt,100,1,205,2019-06-30,3.05,1,1
2116940,2715062,Manhattan,Lower East Side,40.71973,-73.99338,Entire home/apt,145,2,4,2016-11-05,0.06,1,0
2117705,5243832,Brooklyn,Williamsburg,40.71258,-73.96392,Private room,100,5,44,2019-05-26,1.68,1,41
2118102,7579627,Manhattan,West Village,40.73236,-74.00353,Entire home/apt,200,1,4,2016-12-22,0.06,1,0
2119216,10806025,Manhattan,Harlem,40.82029,-73.93861,Entire home/apt,80,1,353,2019-06-19,5.26,1,258
2120619,4967515,Manhattan,Upper West Side,40.78881,-73.98116,Entire home/apt,200,6,4,2015-09-21,0.06,2,364
2122613,6854214,Manhattan,West Village,40.72975,-74.00414,Entire home/apt,325,1,0,,,1,0
2123079,10577784,Queens,Long Island City,40.76304,-73.92777,Entire home/apt,120,3,80,2019-07-02,1.74,2,69
2123731,10828833,Manhattan,Hell's Kitchen,40.76466,-73.99325,Private room,180,3,191,2019-06-19,3.29,1,161
2124536,269710,Manhattan,Financial District,40.70912,-74.01322,Entire home/apt,379,2,96,2018-06-27,1.52,1,0
2124910,10384906,Brooklyn,Borough Park,40.63592,-74.00476,Private room,33,1,98,2019-06-16,1.55,5,0
2126376,10846328,Brooklyn,Williamsburg,40.71296,-73.95088,Private room,60,4,0,,,2,0
2126576,7503643,Brooklyn,Greenpoint,40.72552,-73.94195,Entire home/apt,199,30,4,2018-08-14,0.07,52,365
2127016,7503643,Brooklyn,Greenpoint,40.72722,-73.94167,Entire home/apt,149,30,4,2018-09-28,0.06,52,343
2127382,10852093,Manhattan,Upper East Side,40.77924,-73.95092,Entire home/apt,150,1,0,,,1,0
2127713,8384058,Manhattan,Harlem,40.81143,-73.94248,Entire home/apt,98,8,37,2018-12-12,0.59,1,170
2127767,923915,Manhattan,East Village,40.72476,-73.97643,Entire home/apt,250,4,34,2016-11-21,0.52,2,239
2128464,10859032,Brooklyn,Bushwick,40.69312,-73.90582,Private room,60,1,4,2014-06-10,0.06,1,0
2128761,407078,Brooklyn,Williamsburg,40.71558,-73.94355,Entire home/apt,149,2,49,2019-07-07,0.73,1,171
2132248,3695778,Brooklyn,Williamsburg,40.7147,-73.96554,Private room,95,5,0,,,1,0
2134047,2533833,Brooklyn,Bedford-Stuyvesant,40.68409,-73.95402,Entire home/apt,85,3,122,2019-06-15,1.93,1,41
2134052,7978448,Manhattan,Chelsea,40.74193,-74.0017,Entire home/apt,90,3,23,2015-12-06,0.36,1,0
2134294,10859726,Queens,Astoria,40.77073,-73.93229,Private room,47,5,11,2018-03-10,0.16,3,162
2134697,2119276,Manhattan,Hell's Kitchen,40.76613,-73.98721,Entire home/apt,180,30,16,2019-04-22,0.25,39,337
2135116,2382974,Manhattan,Battery Park City,40.71,-74.0154,Private room,110,3,1,2017-05-25,0.04,1,0
2135489,8624212,Brooklyn,Carroll Gardens,40.68362,-73.99714,Entire home/apt,170,2,131,2019-06-16,2.02,1,26
2135754,7793849,Manhattan,Greenwich Village,40.72934,-73.99983,Entire home/apt,210,5,25,2018-08-24,0.42,1,0
2135766,4074918,Manhattan,Upper West Side,40.79478,-73.97474,Entire home/apt,900,1,0,,,1,0
2136293,6599585,Queens,Richmond Hill,40.70171,-73.82788,Entire home/apt,65,2,162,2019-06-26,2.45,1,302
2136511,6001762,Brooklyn,Bedford-Stuyvesant,40.67927,-73.9113,Private room,60,7,0,,,1,365
2137111,10906528,Manhattan,Upper West Side,40.78689,-73.96985,Entire home/apt,225,2,14,2016-05-15,0.29,1,0
2137714,1193933,Brooklyn,Bushwick,40.68342,-73.91017,Entire home/apt,200,7,0,,,1,0
2137796,10909829,Brooklyn,Bedford-Stuyvesant,40.68478,-73.92971,Entire home/apt,170,3,125,2019-06-22,1.86,2,314
2138787,68428,Manhattan,Washington Heights,40.83191,-73.9411,Private room,62,2,4,2019-04-01,0.19,2,336
2141470,10928857,Manhattan,Murray Hill,40.74487,-73.97452,Entire home/apt,125,2,8,2015-01-02,0.13,1,0
2141635,10929586,Manhattan,SoHo,40.72356,-74.00305,Private room,106,1,1,2014-04-23,0.02,1,0
2141667,10929872,Manhattan,Harlem,40.81968,-73.95353,Private room,93,2,138,2019-06-05,2.23,1,7
2141975,1580799,Manhattan,Upper East Side,40.77459,-73.95149,Private room,85,5,44,2019-06-28,0.77,1,299
2142092,8280182,Manhattan,Washington Heights,40.85098,-73.93664,Private room,300,2,0,,,1,365
2142130,10932521,Manhattan,Lower East Side,40.71978,-73.98643,Entire home/apt,224,2,12,2018-11-25,0.21,1,0
2144033,6166889,Brooklyn,Williamsburg,40.71473,-73.96495,Private room,145,1,52,2019-06-17,0.82,1,291
2144319,10945216,Brooklyn,Crown Heights,40.67177,-73.95221,Private room,40,1,1,2014-01-04,0.01,1,0
2145599,1698391,Manhattan,Hell's Kitchen,40.76197,-73.99308,Private room,135,2,150,2019-06-28,2.42,3,98
2145620,10949644,Manhattan,Midtown,40.75667,-73.96464,Private room,97,3,177,2019-06-28,2.69,1,58
2145759,2879920,Manhattan,Upper East Side,40.76141,-73.96273,Private room,69,60,43,2016-05-29,0.65,2,90
2148025,9130465,Brooklyn,Bushwick,40.69346,-73.90765,Entire home/apt,225,4,233,2019-06-29,3.55,1,89
2149184,7363831,Manhattan,SoHo,40.72615,-74.00123,Entire home/apt,900,1,0,,,1,0
2149854,10454853,Manhattan,Hell's Kitchen,40.76213,-73.99376,Entire home/apt,215,3,2,2015-08-04,0.04,1,0
2149954,10972334,Brooklyn,Bushwick,40.6966,-73.93072,Private room,99,2,8,2018-06-19,0.25,2,88
2150328,10974237,Manhattan,East Village,40.72767,-73.98825,Entire home/apt,850,1,0,,,1,0
2150727,5579700,Manhattan,Gramercy,40.73545,-73.98238,Entire home/apt,2000,1,0,,,1,0
2150750,9268805,Queens,Sunnyside,40.74527,-73.91693,Private room,60,1,10,2014-10-12,0.16,2,184
2151106,6542088,Manhattan,Upper East Side,40.7836,-73.95093,Entire home/apt,303,7,29,2018-11-25,0.46,1,3
2151259,10263977,Manhattan,Upper West Side,40.79752,-73.96298,Entire home/apt,750,3,0,,,1,0
2151479,10981050,Brooklyn,Bedford-Stuyvesant,40.68922,-73.94626,Entire home/apt,111,3,104,2019-06-17,1.65,1,261
2151558,2838861,Brooklyn,Greenpoint,40.73107,-73.95712,Private room,60,30,10,2018-05-28,0.15,1,92
2153435,4630562,Brooklyn,Williamsburg,40.71587,-73.96351,Entire home/apt,320,2,172,2019-07-04,2.99,1,330
2154075,10992588,Brooklyn,Bedford-Stuyvesant,40.6864,-73.94529,Entire home/apt,112,200,314,2019-06-20,4.82,2,42
2154567,9430366,Brooklyn,Bedford-Stuyvesant,40.68232,-73.92746,Entire home/apt,185,2,159,2019-06-30,3.2,1,348
2155219,10998158,Queens,Long Island City,40.75874,-73.92999,Private room,100,29,37,2018-12-08,0.57,1,305
2155345,10995590,Brooklyn,Bushwick,40.70014,-73.92705,Entire home/apt,150,1,1,2015-10-14,0.02,1,0
2156111,305395,Manhattan,Hell's Kitchen,40.76337,-73.98576,Private room,130,5,98,2019-06-24,1.73,1,48
2157550,11010011,Brooklyn,Bushwick,40.70751,-73.92058,Entire home/apt,130,5,9,2017-06-26,0.18,1,0
2158171,11012889,Manhattan,Financial District,40.70451,-74.00671,Entire home/apt,575,1,0,,,1,0
2159193,11012377,Brooklyn,Carroll Gardens,40.68497,-73.9902,Entire home/apt,125,5,2,2019-04-19,0.32,1,196
2159898,11021180,Manhattan,East Village,40.72671,-73.98437,Entire home/apt,190,4,216,2019-07-06,3.34,1,55
2160591,6326737,Brooklyn,Bushwick,40.68926,-73.91595,Private room,70,3,40,2019-05-19,0.63,1,365
2163602,11039974,Manhattan,Upper West Side,40.77874,-73.98437,Entire home/apt,599,1,5,2016-08-25,0.14,2,0
2164135,1470471,Brooklyn,Bedford-Stuyvesant,40.69112,-73.95203,Private room,80,3,90,2019-06-17,1.39,1,199
2164631,2090668,Manhattan,Upper East Side,40.77464,-73.95226,Entire home/apt,99,1,0,,,1,0
2165107,10533538,Manhattan,Upper East Side,40.7604,-73.96029,Entire home/apt,100,6,29,2019-05-30,0.47,1,128
2165933,11051885,Manhattan,Theater District,40.76252,-73.98376,Entire home/apt,200,30,2,2017-12-06,0.05,1,339
2168268,9949214,Manhattan,Harlem,40.82252,-73.94462,Private room,60,2,13,2017-08-17,0.45,1,33
2169106,11066377,Brooklyn,Prospect-Lefferts Gardens,40.6591,-73.96116,Private room,100,2,13,2019-05-19,0.36,1,365
2169765,8258307,Manhattan,Murray Hill,40.74855,-73.98001,Entire home/apt,2000,1,0,,,1,0
2170035,11070320,Manhattan,Harlem,40.812,-73.95367,Private room,90,3,82,2018-04-23,1.29,1,0
2170618,11073109,Brooklyn,Clinton Hill,40.68214,-73.96474,Private room,61,4,3,2015-08-17,0.06,1,0
2171809,11063639,Brooklyn,Williamsburg,40.71557,-73.96149,Private room,99,1,0,,,1,0
2171821,11079245,Queens,Ridgewood,40.70218,-73.91005,Private room,100,7,14,2019-05-08,0.24,1,365
2172139,10096792,Manhattan,Upper West Side,40.77608,-73.97614,Entire home/apt,340,6,1,2019-04-26,0.41,1,365
2175827,909577,Brooklyn,Williamsburg,40.71354,-73.96183,Private room,75,2,183,2019-06-30,3.03,3,154
2177004,11103721,Brooklyn,Williamsburg,40.71364,-73.96427,Entire home/apt,130,30,6,2018-07-05,0.17,1,39
2178294,5716241,Brooklyn,Williamsburg,40.71328,-73.95154,Entire home/apt,140,2,6,2019-01-02,0.1,1,0
2181941,824689,Manhattan,Harlem,40.81562,-73.94426,Entire home/apt,112,3,22,2019-06-04,0.34,1,313
2182899,377361,Manhattan,East Village,40.72456,-73.98004,Entire home/apt,160,3,25,2017-05-23,0.4,1,0
2183423,5414067,Manhattan,Harlem,40.81333,-73.94194,Entire home/apt,165,3,142,2019-06-14,2.27,2,301
2185668,3579337,Manhattan,Chelsea,40.74106,-74.00262,Private room,80,30,8,2017-01-31,0.12,3,301
2185842,6910298,Manhattan,Hell's Kitchen,40.76,-73.99009,Entire home/apt,850,1,0,,,1,0
2186138,11147328,Manhattan,Midtown,40.75764,-73.96827,Entire home/apt,950,1,0,,,1,0
2186452,10636508,Manhattan,Tribeca,40.71725,-74.00528,Entire home/apt,1500,1,0,,,1,0
2186699,11126880,Manhattan,Chelsea,40.74259,-73.99708,Entire home/apt,160,4,8,2017-12-25,0.12,1,0
2187847,11155956,Manhattan,West Village,40.73818,-74.00433,Entire home/apt,300,2,0,,,1,0
2188204,11157871,Brooklyn,Bedford-Stuyvesant,40.67892,-73.95156,Entire home/apt,150,2,94,2019-06-23,2.55,1,144
2189129,11163727,Brooklyn,Park Slope,40.66587,-73.97737,Entire home/apt,250,1,0,,,1,0
2189450,11165856,Manhattan,East Village,40.72358,-73.9867,Entire home/apt,100,10,0,,,1,0
2189742,11167829,Manhattan,Harlem,40.82811,-73.94372,Private room,49,2,79,2019-06-09,1.22,3,52
2191591,11176329,Manhattan,Upper East Side,40.78401,-73.94863,Entire home/apt,675,5,3,2014-09-09,0.05,1,0
2191612,6959160,Manhattan,Hell's Kitchen,40.76293,-73.98981,Entire home/apt,150,5,9,2018-09-04,0.15,1,6
2193027,11183488,Manhattan,Upper East Side,40.78328,-73.95273,Entire home/apt,300,1,0,,,1,0
2193649,11136429,Manhattan,Lower East Side,40.71735,-73.99095,Private room,79,1,259,2017-12-20,3.93,1,2
2193902,1587234,Manhattan,East Village,40.72422,-73.98211,Entire home/apt,225,2,46,2019-04-30,0.8,1,320
2193945,11189139,Brooklyn,Bedford-Stuyvesant,40.68775,-73.9521,Private room,90,2,145,2019-06-29,2.26,1,250
2194038,11189753,Brooklyn,Fort Greene,40.68683,-73.96981,Entire home/apt,285,8,23,2019-06-15,0.36,4,364
2194382,11192207,Manhattan,Upper West Side,40.78731,-73.97805,Entire home/apt,300,2,2,2017-01-05,0.06,1,0
2196271,396599,Brooklyn,Bushwick,40.69972,-73.92244,Private room,55,2,1,2018-12-28,0.16,2,157
2197283,8706294,Manhattan,Washington Heights,40.84058,-73.93885,Entire home/apt,80,5,81,2019-07-03,1.26,1,315
2197401,11208418,Manhattan,Washington Heights,40.84119,-73.939,Private room,90,1,271,2019-06-23,4.32,1,281
2197725,7181895,Manhattan,Upper East Side,40.7759,-73.94921,Entire home/apt,325,2,3,2016-01-02,0.05,1,0
2198970,4173868,Manhattan,Washington Heights,40.84531,-73.93583,Private room,55,7,9,2017-09-22,0.14,1,0
2201154,5081260,Manhattan,NoHo,40.7278,-73.99205,Private room,208,2,38,2019-06-18,0.6,1,313
2201491,3579337,Manhattan,West Village,40.73776,-73.99996,Entire home/apt,156,1,8,2019-02-09,0.15,3,300
2201581,11231506,Brooklyn,Bedford-Stuyvesant,40.69587,-73.94037,Entire home/apt,85,4,9,2019-06-03,0.22,1,1
2202858,305591,Brooklyn,Fort Greene,40.69093,-73.97936,Entire home/apt,200,2,4,2018-05-21,0.06,1,0
2203154,5392354,Manhattan,East Village,40.73087,-73.98713,Entire home/apt,180,2,2,2014-09-29,0.03,1,0
2203450,1500487,Brooklyn,Williamsburg,40.71577,-73.95408,Entire home/apt,250,10,0,,,1,0
2203926,1451417,Brooklyn,Williamsburg,40.71292,-73.95876,Entire home/apt,325,3,169,2019-07-01,3.33,1,277
2206311,5149997,Manhattan,Midtown,40.75701,-73.96781,Entire home/apt,140,3,0,,,1,0
2208545,4906960,Manhattan,Chinatown,40.71539,-73.99379,Entire home/apt,160,6,65,2019-07-05,1.19,1,7
2208567,11265131,Manhattan,Lower East Side,40.72053,-73.98901,Private room,130,1,59,2018-08-26,1,1,0
2209460,9538322,Manhattan,West Village,40.73747,-74.00014,Private room,110,1,136,2019-07-01,3.1,1,63
2209835,8811222,Manhattan,Kips Bay,40.74361,-73.97677,Entire home/apt,150,2,120,2019-07-01,3.25,1,29
2210041,8112314,Manhattan,Upper West Side,40.78616,-73.97348,Private room,149,2,121,2019-06-23,2.06,2,270
2210088,11273539,Manhattan,Chelsea,40.74798,-74.00314,Entire home/apt,900,1,0,,,1,0
2210615,11276922,Manhattan,Chelsea,40.74047,-73.99508,Entire home/apt,215,3,9,2018-08-26,0.27,1,0
2210663,6447944,Manhattan,Upper West Side,40.79558,-73.96969,Entire home/apt,155,1,21,2018-07-01,0.38,1,0
2210795,4618666,Brooklyn,Gowanus,40.68019,-73.98119,Private room,50,3,3,2016-04-07,0.07,1,0
2211028,11279303,Brooklyn,Greenpoint,40.72764,-73.95557,Entire home/apt,225,5,0,,,1,0
2213680,551055,Manhattan,Harlem,40.82649,-73.95253,Private room,65,2,2,2016-09-23,0.05,2,114
2214256,7644839,Brooklyn,Bedford-Stuyvesant,40.68631,-73.93993,Entire home/apt,112,4,138,2019-06-29,2.21,1,248
2214323,4237535,Manhattan,Lower East Side,40.71969,-73.99287,Entire home/apt,250,3,107,2019-06-24,1.64,1,273
2214689,5278391,Brooklyn,Williamsburg,40.71527,-73.94038,Private room,65,4,8,2018-08-31,0.19,2,19
2214710,7503643,Brooklyn,Greenpoint,40.72572,-73.94031,Entire home/apt,159,30,0,,,52,349
2214831,11297009,Manhattan,Upper West Side,40.78605,-73.97354,Entire home/apt,99,1,153,2019-05-26,2.39,4,327
2214978,11257635,Manhattan,Upper West Side,40.7834,-73.97904,Entire home/apt,395,3,1,2014-09-14,0.02,1,340
2216470,11306420,Brooklyn,Bushwick,40.70039,-73.92867,Private room,145,1,0,,,1,0
2217342,1544485,Manhattan,West Village,40.73311,-74.00401,Entire home/apt,185,7,19,2016-07-31,0.31,1,0
